iter	Passed	Remaining
0	58	58135
1	58	29216
2	59	19639
3	59	14821
4	59	11931
5	60	9988
6	60	8609
7	61	7580
8	61	6773
9	61	6128
10	62	5596
11	62	5150
12	62	4772
13	63	4450
14	63	4175
15	64	3942
16	64	3747
17	65	3568
18	66	3407
19	66	3252
20	66	3108
21	67	2978
22	67	2860
23	67	2751
24	68	2655
25	68	2566
26	68	2479
27	69	2399
28	69	2324
29	69	2254
30	70	2189
31	70	2127
32	70	2070
33	70	2015
34	71	1967
35	71	1920
36	72	1876
37	72	1832
38	72	1790
39	72	1750
40	73	1714
41	73	1682
42	74	1652
43	74	1624
44	75	1592
45	75	1562
46	75	1534
47	75	1505
48	76	1478
49	76	1452
50	76	1428
51	77	1404
52	77	1384
53	77	1363
54	78	1343
55	78	1322
56	78	1304
57	79	1286
58	79	1268
59	79	1251
60	80	1233
61	80	1216
62	80	1200
63	80	1184
64	81	1168
65	81	1153
66	81	1139
67	82	1125
68	82	1110
69	82	1097
70	82	1085
71	83	1071
72	83	1060
73	83	1048
74	84	1036
75	84	1024
76	84	1014
77	84	1003
78	85	993
79	85	983
80	85	973
81	86	963
82	86	952
83	86	942
84	86	933
85	86	924
86	87	915
87	87	906
88	87	898
89	88	890
90	88	883
91	88	875
92	89	868
93	89	860
94	89	854
95	90	847
96	90	840
97	90	834
98	90	827
99	91	820
100	91	813
101	91	807
102	92	801
103	92	794
104	92	788
105	92	782
106	93	777
107	93	771
108	93	765
109	93	759
110	94	753
111	94	748
112	94	743
113	95	738
114	95	734
115	95	729
116	95	723
117	96	718
118	96	713
119	96	708
120	96	703
121	97	698
122	97	693
123	97	689
124	97	685
125	98	681
126	98	677
127	98	673
128	99	669
129	99	665
130	99	660
131	99	656
132	100	652
133	100	648
134	100	644
135	100	641
136	101	637
137	101	633
138	101	630
139	102	627
140	102	623
141	102	619
142	102	615
143	103	612
144	103	608
145	103	605
146	103	602
147	104	599
148	104	596
149	104	593
150	105	590
151	105	587
152	105	585
153	106	582
154	106	579
155	106	576
156	106	574
157	107	571
158	107	568
159	107	565
160	107	562
161	108	559
162	108	557
163	108	554
164	109	551
165	109	548
166	109	546
167	109	544
168	110	541
169	110	539
170	110	536
171	111	534
172	111	532
173	111	529
174	111	527
175	112	524
176	112	522
177	112	519
178	112	517
179	113	515
180	113	512
181	113	510
182	113	508
183	114	506
184	114	504
185	114	502
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	118	478
198	118	476
199	118	474
200	118	472
201	119	470
202	119	468
203	119	466
204	120	465
205	120	463
206	120	461
207	120	460
208	121	458
209	121	456
210	121	454
211	121	453
212	122	451
213	122	449
214	122	447
215	122	446
216	123	444
217	123	443
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	430
226	126	429
227	126	427
228	126	426
229	126	424
230	127	423
231	127	421
232	127	420
233	127	418
234	128	416
235	128	415
236	128	414
237	128	412
238	129	411
239	129	410
240	129	408
241	130	407
242	130	406
243	130	404
244	131	403
245	131	402
246	131	401
247	132	400
248	132	399
249	132	397
250	132	396
251	133	394
252	133	393
253	133	392
254	133	391
255	134	390
256	134	388
257	134	387
258	135	386
259	135	385
260	135	384
261	135	383
262	136	382
263	136	381
264	136	379
265	137	379
266	137	378
267	138	377
268	138	376
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	140	369
275	140	368
276	140	367
277	140	366
278	141	364
279	141	363
280	141	362
281	142	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	143	353
289	144	353
290	144	351
291	144	350
292	144	349
293	145	348
294	145	347
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	148	337
306	149	336
307	149	335
308	149	334
309	150	334
310	150	333
311	150	332
312	151	331
313	151	331
314	152	330
315	152	329
316	152	328
317	152	328
318	153	327
319	153	326
320	153	325
321	154	324
322	154	323
323	154	322
324	154	321
325	155	320
326	155	319
327	155	318
328	155	317
329	156	316
330	156	316
331	156	315
332	156	314
333	157	313
334	157	312
335	157	311
336	158	311
337	158	310
338	158	309
339	158	308
340	159	307
341	159	306
342	159	305
343	160	305
344	160	304
345	160	303
346	160	302
347	161	301
348	161	301
349	161	300
350	161	299
351	162	298
352	162	297
353	162	296
354	162	296
355	163	295
356	163	294
357	163	293
358	164	292
359	164	292
360	164	291
361	164	290
362	165	289
363	165	289
364	165	288
365	166	287
366	166	287
367	166	286
368	167	285
369	167	285
370	167	284
371	168	284
372	168	283
373	169	283
374	169	282
375	169	282
376	170	281
377	170	280
378	170	279
379	171	279
380	171	278
381	171	277
382	172	277
383	172	276
384	172	275
385	172	274
386	173	274
387	173	273
388	173	272
389	173	271
390	174	271
391	174	270
392	174	269
393	175	269
394	175	268
395	175	267
396	175	267
397	176	266
398	176	265
399	176	265
400	177	264
401	177	263
402	177	263
403	177	262
404	178	261
405	178	261
406	178	260
407	179	260
408	179	259
409	179	258
410	180	257
411	180	257
412	180	256
413	180	256
414	181	255
415	181	254
416	181	254
417	182	253
418	182	253
419	183	252
420	183	252
421	183	251
422	183	250
423	184	250
424	184	249
425	184	249
426	185	248
427	185	248
428	185	247
429	186	246
430	186	246
431	186	245
432	187	244
433	187	244
434	187	243
435	187	242
436	188	242
437	188	241
438	188	241
439	188	240
440	189	239
441	189	239
442	189	238
443	189	237
444	190	237
445	190	236
446	190	236
447	191	235
448	191	234
449	191	234
450	191	233
451	192	232
452	192	232
453	192	231
454	192	231
455	193	230
456	193	229
457	193	229
458	194	228
459	194	228
460	194	227
461	194	227
462	195	226
463	195	225
464	195	225
465	196	224
466	196	224
467	196	223
468	196	222
469	197	222
470	197	221
471	197	221
472	198	220
473	198	220
474	198	219
475	198	218
476	199	218
477	199	217
478	199	217
479	200	216
480	201	216
481	201	216
482	201	215
483	202	215
484	202	214
485	202	214
486	202	213
487	203	213
488	203	212
489	203	211
490	203	211
491	204	210
492	204	210
493	204	209
494	205	209
495	205	208
496	205	208
497	205	207
498	206	207
499	206	206
500	206	205
501	206	205
502	207	204
503	207	204
504	207	203
505	207	202
506	208	202
507	208	201
508	208	201
509	209	200
510	209	200
511	209	199
512	209	199
513	210	198
514	210	198
515	210	197
516	210	197
517	211	196
518	211	195
519	211	195
520	211	194
521	212	194
522	212	193
523	213	193
524	213	193
525	213	192
526	213	192
527	214	191
528	214	191
529	215	190
530	215	190
531	216	190
532	216	189
533	216	189
534	217	188
535	217	188
536	217	187
537	217	187
538	218	186
539	218	186
540	218	185
541	218	185
542	219	184
543	219	183
544	219	183
545	219	182
546	220	182
547	220	181
548	220	181
549	220	180
550	221	180
551	221	179
552	221	179
553	221	178
554	222	178
555	222	177
556	222	177
557	223	176
558	223	176
559	223	175
560	224	175
561	224	175
562	224	174
563	225	174
564	225	173
565	225	173
566	225	172
